Route_Number,Route_Name,Ridership_Total,Week_Range,Route_Date,ObjectId
FerryWH,Woodside to Halifax,1162,2018.06.10 - 2018.06.16,6/12/2018 10:00:00 AM,161
FerryDH,Dartmouth to Halifax,1975,2018.06.10 - 2018.06.16,6/13/2018 10:00:00 AM,162
FerryHD,Halifax to Dartmouth,2276,2018.06.10 - 2018.06.16,6/13/2018 10:00:00 AM,163
FerryHW,Halifax to Woodside,1186,2018.06.10 - 2018.06.16,6/13/2018 10:00:00 AM,164
FerryWH,Woodside to Halifax,1172,2018.06.10 - 2018.06.16,6/13/2018 10:00:00 AM,165
FerryDH,Dartmouth to Halifax,1316,2018.06.10 - 2018.06.16,6/14/2018 10:00:00 AM,166
FerryHD,Halifax to Dartmouth,1478,2018.06.10 - 2018.06.16,6/14/2018 10:00:00 AM,167
FerryHW,Halifax to Woodside,1037,2018.06.10 - 2018.06.16,6/14/2018 10:00:00 AM,168
FerryWH,Woodside to Halifax,981,2018.06.10 - 2018.06.16,6/14/2018 10:00:00 AM,169
FerryDH,Dartmouth to Halifax,2320,2018.06.10 - 2018.06.16,6/15/2018 10:00:00 AM,170
FerryHD,Halifax to Dartmouth,2311,2018.06.10 - 2018.06.16,6/15/2018 10:00:00 AM,171
FerryHW,Halifax to Woodside,1064,2018.06.10 - 2018.06.16,6/15/2018 10:00:00 AM,172
FerryWH,Woodside to Halifax,1032,2018.06.10 - 2018.06.16,6/15/2018 10:00:00 AM,173
FerryDH,Dartmouth to Halifax,2631,2018.06.10 - 2018.06.16,6/16/2018 10:00:00 AM,174
FerryHD,Halifax to Dartmouth,2433,2018.06.10 - 2018.06.16,6/16/2018 10:00:00 AM,175
FerryHW,Halifax to Woodside,0,2018.06.10 - 2018.06.16,6/16/2018 10:00:00 AM,176
FerryWH,Woodside to Halifax,0,2018.06.10 - 2018.06.16,6/16/2018 10:00:00 AM,177
FerryDH,Dartmouth to Halifax,1606,2018.06.17 - 2018.06.23,6/17/2018 10:00:00 AM,178
FerryHD,Halifax to Dartmouth,1514,2018.06.17 - 2018.06.23,6/17/2018 10:00:00 AM,179
FerryHW,Halifax to Woodside,0,2018.06.17 - 2018.06.23,6/17/2018 10:00:00 AM,180
FerryWH,Woodside to Halifax,0,2018.06.17 - 2018.06.23,6/17/2018 10:00:00 AM,181
FerryDH,Dartmouth to Halifax,1255,2018.06.17 - 2018.06.23,6/18/2018 10:00:00 AM,182
FerryHD,Halifax to Dartmouth,1303,2018.06.17 - 2018.06.23,6/18/2018 10:00:00 AM,183
FerryHW,Halifax to Woodside,1010,2018.06.17 - 2018.06.23,6/18/2018 10:00:00 AM,184
FerryWH,Woodside to Halifax,989,2018.06.17 - 2018.06.23,6/18/2018 10:00:00 AM,185
FerryDH,Dartmouth to Halifax,1948,2018.06.17 - 2018.06.23,6/19/2018 10:00:00 AM,186
FerryHD,Halifax to Dartmouth,2126,2018.06.17 - 2018.06.23,6/19/2018 10:00:00 AM,187
FerryHW,Halifax to Woodside,1220,2018.06.17 - 2018.06.23,6/19/2018 10:00:00 AM,188
FerryWH,Woodside to Halifax,1132,2018.06.17 - 2018.06.23,6/19/2018 10:00:00 AM,189
FerryDH,Dartmouth to Halifax,2465,2018.06.17 - 2018.06.23,6/20/2018 10:00:00 AM,190
FerryHD,Halifax to Dartmouth,2570,2018.06.17 - 2018.06.23,6/20/2018 10:00:00 AM,191
FerryHW,Halifax to Woodside,1190,2018.06.17 - 2018.06.23,6/20/2018 10:00:00 AM,192
FerryWH,Woodside to Halifax,1197,2018.06.17 - 2018.06.23,6/20/2018 10:00:00 AM,193
FerryDH,Dartmouth to Halifax,2080,2018.06.17 - 2018.06.23,6/21/2018 10:00:00 AM,194
FerryHD,Halifax to Dartmouth,2200,2018.06.17 - 2018.06.23,6/21/2018 10:00:00 AM,195
FerryHW,Halifax to Woodside,1229,2018.06.17 - 2018.06.23,6/21/2018 10:00:00 AM,196
FerryWH,Woodside to Halifax,1176,2018.06.17 - 2018.06.23,6/21/2018 10:00:00 AM,197
FerryDH,Dartmouth to Halifax,2711,2018.06.17 - 2018.06.23,6/22/2018 10:00:00 AM,198
FerryHD,Halifax to Dartmouth,2647,2018.06.17 - 2018.06.23,6/22/2018 10:00:00 AM,199
FerryHW,Halifax to Woodside,1177,2018.06.17 - 2018.06.23,6/22/2018 10:00:00 AM,200
FerryWH,Woodside to Halifax,1213,2018.06.17 - 2018.06.23,6/22/2018 10:00:00 AM,201
FerryDH,Dartmouth to Halifax,2635,2018.06.17 - 2018.06.23,6/23/2018 10:00:00 AM,202
FerryHD,Halifax to Dartmouth,2405,2018.06.17 - 2018.06.23,6/23/2018 10:00:00 AM,203
FerryHW,Halifax to Woodside,0,2018.06.17 - 2018.06.23,6/23/2018 10:00:00 AM,204
FerryWH,Woodside to Halifax,0,2018.06.17 - 2018.06.23,6/23/2018 10:00:00 AM,205
FerryDH,Dartmouth to Halifax,1271,2018.06.24 - 2018.06.30,6/24/2018 10:00:00 AM,206
